Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
0,SAO,MCZ,6,1,4339
1,SSA,BSB,17,5,7109
2,MCZ,FLN,1,1,6421
3,BH,SP,6,5,3494
4,SP,PMW,13,2,7662
5,REC,POA,6,3,8955
6,RIO,PMW,15,1,4836
7,RIO,REC,15,4,7744
8,RIO,SAO,18,3,4923
9,REC,PMW,18,1,8767
10,POA,BH,8,5,6844
11,SAO,MCZ,7,3,7055
12,SP,MCZ,2,4,7392
13,SSA,FLN,8,5,6807
14,MCZ,RIO,19,3,6116
15,SSA,BSB,8,1,2878
16,FLN,PMW,10,2,5934
17,POA,FLN,19,3,4492
18,SSA,RIO,13,4,5898
19,SP,RIO,2,4,9547
20,PMW,BH,8,3,2967
21,MCZ,BSB,19,1,2628
22,BSB,MCZ,17,3,6684
23,MCZ,BH,3,3,6719
24,FLN,BSB,8,3,7872
25,REC,RIO,3,1,6853
26,BSB,FLN,2,4,3142
27,PMW,POA,3,5,6500
28,BH,SSA,6,5,5388
29,SAO,SSA,4,3,6543
30,FLN,SSA,16,2,8672
31,SSA,SP,8,3,2493
32,RIO,FLN,3,2,3113
33,FLN,BSB,18,3,3805
34,RIO,FLN,11,2,2135
35,BH,SAO,10,2,8577
36,REC,SP,17,4,2784
37,BSB,SSA,13,1,7582
38,MCZ,SAO,13,2,7837
39,RIO,BSB,15,1,8285
40,BH,REC,15,5,9432
41,PMW,BSB,3,2,8876
42,BSB,RIO,13,2,5560
43,FLN,BSB,8,2,9660
44,FLN,MCZ,2,3,7234
45,SAO,SP,4,3,2781
46,PMW,SSA,6,1,2520
47,PMW,RIO,20,3,4086
48,MCZ,RIO,16,4,2823
49,BSB,REC,6,1,3214
50,POA,SP,2,3,8114
51,FLN,SP,1,4,7483
52,SP,REC,7,3,3252
53,REC,SP,19,5,9258
54,RIO,REC,9,2,3792
55,SP,REC,15,5,7233
56,PMW,SSA,17,2,9060
57,MCZ,SAO,18,5,7038
58,PMW,SSA,14,1,6501
59,REC,BSB,19,5,2952
60,BH,SP,19,4,3066
61,SAO,BH,5,3,7541
62,BH,FLN,20,3,5774
63,RIO,BSB,1,1,5136
64,SSA,BSB,6,2,7597
65,POA,BSB,20,1,9561
66,SP,SSA,19,2,4604
67,FLN,SAO,3,4,7027
68,REC,FLN,18,5,5341
69,PMW,SAO,8,5,8300
70,SAO,PMW,18,3,3098
71,SAO,SSA,5,1,3752
72,SSA,BH,13,3,6271
73,POA,SAO,5,2,4715
74,FLN,SSA,17,3,5892
75,MCZ,SP,10,4,3058
76,BH,PMW,7,2,4587
77,SP,BH,1,5,9908
78,BH,BSB,14,2,9490
79,SP,FLN,16,1,3738
80,BH,SSA,9,2,9638
81,BH,SSA,12,4,7211
82,SSA,SP,7,2,5894
83,SAO,BSB,18,3,8282
84,BH,REC,15,3,7483
85,POA,BH,15,2,5347
86,BSB,BH,15,3,5696
87,REC,BSB,5,3,5867
88,FLN,BSB,12,3,5260
89,RIO,SAO,11,5,8821
90,BSB,PMW,7,4,2113
91,BH,SAO,3,4,3991
92,SP,BH,19,2,7781
93,POA,SP,15,2,7359
94,REC,BSB,18,5,5052
95,SSA,BSB,11,1,7064
96,SSA,POA,3,1,8113
97,FLN,SP,8,4,3137
98,POA,RIO,6,5,8190
99,SP,SSA,6,3,3287
100,MCZ,BSB,18,4,3258
101,BSB,POA,4,4,5371
102,SAO,REC,1,1,8090
103,RIO,SP,3,2,2550
104,POA,BH,5,2,6234
105,REC,FLN,1,3,8758
106,MCZ,SAO,16,4,9630
107,MCZ,PMW,11,3,5027
108,RIO,SP,4,1,6343
109,FLN,SAO,2,4,8941
110,SSA,SP,11,3,3280
111,RIO,POA,15,4,4258
112,REC,MCZ,4,5,4195
113,BH,POA,13,3,6464
114,PMW,POA,9,5,4426
115,FLN,POA,12,4,7461
116,SSA,BH,1,4,3299
117,POA,BSB,4,5,3230
118,PMW,BSB,9,2,6110
119,BSB,POA,6,3,8314
120,MCZ,REC,19,3,3821
121,BH,FLN,20,4,4723
122,PMW,BH,8,3,2720
123,MCZ,BH,1,4,8851
124,BSB,SAO,14,2,5012
125,RIO,BH,8,2,5665
126,SAO,FLN,3,5,9649
127,SSA,SP,18,3,4216
128,SP,SAO,1,5,7602
129,BH,REC,13,3,8187
130,SAO,BH,4,1,2703
131,SAO,SP,5,3,8984
132,MCZ,SP,14,4,2806
133,SP,SAO,9,2,6134
134,MCZ,SSA,10,1,5365
135,SP,PMW,3,1,6290
136,SAO,POA,9,3,3185
137,PMW,SSA,11,3,2204
138,SP,MCZ,6,1,9861
139,SAO,REC,3,4,7121
140,FLN,SP,12,3,8859
141,POA,MCZ,2,4,8662
142,REC,RIO,12,2,2489
143,PMW,RIO,13,1,3900
144,BH,BSB,12,2,4890
145,PMW,SP,13,1,7914
146,SSA,BSB,17,3,9260
147,SP,MCZ,9,3,6688
148,RIO,FLN,18,4,9568
149,MCZ,REC,15,1,9945
150,BSB,PMW,8,4,8428
151,SP,SSA,17,4,6651
152,RIO,BSB,9,5,3310
153,PMW,BSB,11,2,5292
154,FLN,MCZ,7,2,7827
155,RIO,POA,10,5,3102
156,BH,REC,19,1,2499
157,SAO,REC,4,2,6665
158,POA,REC,4,4,9140
159,BSB,REC,5,4,6304
160,BSB,REC,13,4,7810
161,MCZ,FLN,9,4,4221
162,MCZ,RIO,3,1,8145
163,PMW,BH,19,3,5210
164,REC,PMW,3,1,7713
165,SAO,REC,6,1,8213
166,RIO,POA,14,2,4986
167,REC,PMW,2,5,6763
168,SSA,FLN,11,1,9858
169,FLN,BSB,8,1,6718
170,POA,BSB,9,1,8374
171,SP,SAO,18,1,3775
172,BH,BSB,18,4,3036
173,SSA,BH,5,2,2483
174,POA,REC,10,5,7260
175,BSB,BH,9,1,5609
176,RIO,PMW,16,5,3674
177,BH,PMW,20,5,9865
178,PMW,BSB,19,1,7524
179,PMW,BSB,9,1,8314
180,SSA,PMW,5,2,2392
181,BSB,FLN,14,5,2781
182,SAO,REC,18,1,8883
183,BH,SSA,10,3,4096
184,MCZ,FLN,8,1,9084
185,BH,BSB,17,4,5997
186,SSA,REC,1,1,2047
187,SAO,PMW,14,4,4766
188,RIO,REC,2,3,5044
189,BSB,POA,16,1,9031
190,REC,MCZ,6,2,3420
191,SSA,PMW,19,3,9629
192,SP,BH,5,4,2243
193,REC,PMW,19,2,9741
194,SP,SSA,12,5,5195
195,REC,POA,4,4,4724
196,POA,SP,5,3,7385
197,MCZ,FLN,14,2,6398
198,BSB,FLN,17,1,7219
199,PMW,RIO,12,1,4699
200,SAO,MCZ,14,3,7570
201,REC,BSB,3,4,7208
202,BH,POA,2,5,2229
203,RIO,MCZ,17,1,8845
204,RIO,MCZ,15,4,5130
205,FLN,RIO,1,1,6231
206,REC,MCZ,4,4,4564
207,BSB,RIO,19,3,9952
208,BH,RIO,15,4,6858
209,SSA,SP,10,5,8200
210,SP,BSB,7,1,6421
211,REC,POA,19,2,4990
212,BH,SSA,7,1,3856
213,REC,SP,1,1,6930
214,REC,SAO,13,3,8901
215,BSB,RIO,13,2,2787
216,POA,SP,12,3,8311
217,SAO,PMW,3,1,5936
218,POA,REC,5,3,5097
219,SSA,REC,14,5,6548
220,SAO,REC,14,1,5021
221,SP,RIO,12,4,7187
222,REC,FLN,3,5,6633
223,REC,BH,1,5,4914
224,SAO,SSA,6,4,4595
225,RIO,SAO,5,1,8453
226,SSA,BH,13,4,3147
227,SP,RIO,15,3,6390
228,RIO,MCZ,9,5,7913
229,RIO,BSB,9,4,3445
230,POA,RIO,11,2,5649
231,FLN,BSB,18,4,3038
232,SAO,FLN,3,3,2695
233,SAO,SP,9,5,4139
234,SP,BSB,5,4,7100
235,PMW,SAO,1,2,6028
236,PMW,SAO,20,4,4324
237,SSA,BSB,7,4,5602
238,REC,SSA,20,2,4318
239,SP,SSA,4,1,4892
240,MCZ,RIO,17,4,5379
241,RIO,FLN,19,3,7807
242,POA,REC,16,5,2433
243,BSB,SP,13,1,5868
244,BH,MCZ,16,2,9421
245,RIO,REC,8,5,6238
246,RIO,FLN,7,2,8267
247,SP,REC,2,2,4941
248,SP,REC,8,1,9144
249,REC,SP,11,5,2602
250,BSB,REC,3,1,7753
251,BSB,MCZ,19,2,3485
252,SAO,RIO,3,1,9449
253,SP,POA,4,4,2149
