Cliente,Saída,Chegada,Estadia (em dias),Estrelas,Orçamento (em reais)
0,REC,BH,1,4,8096
1,POA,SP,13,3,9432
2,POA,FLN,5,1,5072
3,POA,BSB,11,5,6307
4,BH,MCZ,3,5,4862
5,BH,RIO,4,1,2773
6,REC,RIO,16,4,7578
7,RIO,SAO,4,5,7507
8,SAO,PMW,13,1,4968
9,RIO,SAO,17,5,8614
10,SAO,BSB,9,2,5576
11,POA,SP,14,4,8344
12,SAO,BSB,8,1,9056
13,FLN,MCZ,19,1,9532
14,BSB,MCZ,13,1,5450
15,REC,POA,20,4,8662
16,RIO,REC,1,2,5531
17,SSA,SP,3,2,3489
18,SP,RIO,14,2,4382
19,MCZ,SSA,1,1,3604
20,FLN,SAO,18,4,9238
21,SAO,MCZ,12,3,3750
22,POA,BH,2,4,8689
23,BH,BSB,18,5,8985
24,REC,MCZ,14,4,5630
25,FLN,RIO,3,4,3896
26,RIO,PMW,16,2,8536
27,PMW,BSB,12,3,4507
28,RIO,FLN,5,1,9392
29,SP,FLN,13,4,7351
30,MCZ,PMW,8,4,4135
31,SSA,SP,18,5,2506
32,SAO,POA,1,4,5957
33,BSB,MCZ,19,3,5032
34,RIO,SAO,12,1,7754
35,RIO,PMW,9,1,3680
36,SAO,RIO,10,2,8612
37,SSA,BSB,8,2,4287
38,SSA,SP,20,3,8626
39,POA,SSA,5,3,2436
40,POA,SAO,14,3,5102
41,BH,SP,12,2,6380
42,SAO,BH,15,4,4201
43,BH,SSA,8,3,4101
44,FLN,RIO,15,1,6652
45,REC,SP,20,1,7745
46,RIO,POA,14,4,2379
47,SP,SSA,15,3,5687
48,SSA,SAO,5,5,3575
49,POA,FLN,11,1,4992
50,SSA,FLN,1,3,2501
51,BH,SSA,12,1,3341
52,RIO,MCZ,7,2,9739
53,PMW,POA,16,1,3929
54,BH,SP,4,5,8288
55,MCZ,BH,14,1,4425
56,POA,BH,10,4,8987
57,BH,SAO,6,2,8310
58,BSB,SSA,5,5,7508
59,REC,SSA,19,3,7902
60,FLN,SAO,13,2,5891
61,SSA,BSB,9,2,3220
62,RIO,SAO,4,1,8341
63,RIO,BH,13,2,7462
64,PMW,MCZ,10,3,9889
65,BSB,MCZ,7,3,3963
66,SSA,REC,20,2,6700
67,BSB,FLN,14,3,4359
68,FLN,MCZ,1,1,3719
69,POA,BSB,7,1,2039
70,REC,SAO,9,1,2033
71,MCZ,BH,16,2,5973
72,RIO,PMW,15,3,5600
73,MCZ,POA,1,5,8402
74,RIO,POA,7,2,9529
75,FLN,RIO,13,1,3271
76,SSA,REC,6,2,5448
77,RIO,MCZ,8,2,9642
78,RIO,REC,15,2,6659
79,REC,MCZ,2,2,4841
80,REC,RIO,18,3,5111
81,POA,MCZ,15,5,2998
82,RIO,SSA,5,3,3491
83,RIO,POA,2,4,4548
84,BSB,PMW,8,2,7573
85,MCZ,BH,6,2,4774
86,REC,SP,1,1,6284
87,SSA,RIO,7,4,9165
88,REC,FLN,2,1,2556
89,BSB,SP,18,5,2025
90,BSB,RIO,4,2,6131
91,MCZ,SSA,9,5,8166
92,POA,FLN,9,3,5035
93,SP,POA,19,3,9164
94,RIO,PMW,4,1,9938
95,FLN,BSB,8,4,8170
96,SP,BSB,14,3,6830
97,BH,SAO,10,5,7124
98,BH,POA,3,3,5727
99,SAO,BH,7,3,8321
100,REC,BSB,1,4,7325
101,SSA,MCZ,8,1,9276
102,SAO,FLN,10,4,9821
103,BSB,RIO,4,5,2742
104,SSA,MCZ,16,1,9450
105,SAO,RIO,12,1,2059
106,BH,REC,4,4,2691
107,BH,FLN,4,1,4277
108,BH,SSA,14,4,5093
109,SAO,SP,19,2,6447
110,SSA,SP,7,5,5407
111,BSB,MCZ,19,2,3835
112,SP,FLN,13,5,6175
113,RIO,SSA,15,5,2378
114,RIO,SSA,17,1,4758
115,FLN,PMW,4,1,5962
116,BSB,SSA,12,2,9899
117,SAO,SP,4,3,9582
118,PMW,SSA,11,3,3935
119,BH,FLN,9,5,7160
120,SP,POA,8,1,2482
121,PMW,BH,8,4,8502
122,FLN,PMW,6,4,2752
123,REC,SP,19,2,4533
124,PMW,SP,1,2,6353
125,MCZ,SP,11,1,4567
126,FLN,REC,19,5,3020
127,RIO,MCZ,8,3,7268
128,REC,BH,5,4,8964
129,PMW,SAO,15,2,4646
130,POA,BH,20,5,2352
131,POA,SP,1,2,9476
132,RIO,POA,3,1,3203
133,SAO,RIO,16,2,3848
134,SSA,SP,11,4,6355
135,MCZ,POA,18,5,2601
136,POA,REC,14,1,7755
137,BH,REC,17,5,8587
138,POA,REC,3,5,4964
139,FLN,POA,16,2,4944
140,BH,RIO,6,5,2346
141,SP,FLN,3,1,6715
142,POA,PMW,14,1,2233
143,BSB,RIO,11,5,2327
144,PMW,SSA,18,3,9539
145,SAO,MCZ,14,4,9317
146,PMW,MCZ,5,3,4496
147,RIO,PMW,10,1,6818
148,BSB,SP,10,3,3979
149,BSB,POA,15,3,3785
150,SP,POA,4,2,7951
151,PMW,SP,18,4,5784
152,RIO,BSB,19,1,9593
153,POA,REC,3,4,7640
154,SAO,BSB,1,2,9346
155,REC,PMW,15,1,6081
156,SSA,REC,10,5,9545
157,FLN,BSB,11,5,2944
158,REC,FLN,5,5,8782
159,PMW,SAO,8,2,2340
160,MCZ,PMW,12,2,4047
161,RIO,FLN,4,2,2485
162,FLN,MCZ,9,4,3241
163,REC,SP,6,5,9175
164,SSA,BSB,2,1,3160
